image_id,latitude,longitude
234423741774262.jpg,33.9820436854,-6.8644382246
137564995030388.jpg,33.981710940367,-6.864084966055
312788033561742.jpg,33.9819094073,-6.8641898688
160261339374740.jpg,33.981920040927,-6.8642391189516
1868053513345226.jpg,33.9818220679,-6.8640249129
841163289819260.jpg,33.9801795501,-6.8580869213
322289322644025.jpg,33.9818026219,-6.8640733603
133817258737475.jpg,33.9818690903,-6.864126334
188939219748680.jpg,33.9820478763,-6.8644388113
224401999489250.jpg,33.9820156898,-6.8643776234
819380492026307.jpg,33.981853794036,-6.8641612186879
503424914146438.jpg,33.9820286818,-6.8643779587
337255401106099.jpg,33.981925752,-6.8641929701
282531550240822.jpg,33.9817906357,-6.8640125915
378321100120200.jpg,33.9819830842,-6.8643155135
486046539378655.jpg,33.979175008358,-6.8663701991045
299123771921530.jpg,33.9819476288,-6.8642526492
198578675432600.jpg,33.9818921406,-6.864135135
286964539765210.jpg,33.9818291925,-6.8640668225
851444885442837.jpg,33.9816962555,-6.8639222346
3695568967216214.jpg,33.981490491803,-6.8641967344262
299602948340863.jpg,33.9817532524,-6.8639157806
938889663534122.jpg,33.9820436854,-6.8644382246
516252156068176.jpg,33.9817906357,-6.8640125915
686913738746522.jpg,33.9820132591,-6.8643784616
767568110625366.jpg,33.98202881167,-6.8643911599598
1955746851230890.jpg,33.981971240358,-6.8643096141153
324585112349931.jpg,33.9820565935,-6.8644415773
815344656025029.jpg,33.9819476288,-6.8642526492
897906740941928.jpg,33.982872332774,-6.8638981997039
509818930208999.jpg,33.981973445,-6.8643175252
1435746690094205.jpg,33.983349563446,-6.863450338745
2877444109185031.jpg,33.985992744668,-6.8608949032193
979698529440925.jpg,33.9819627162,-6.8642543256
909283276472015.jpg,33.9818570204,-6.8640886992
966894803848374.jpg,33.9817271847,-6.8639687542
1088590065003071.jpg,33.9791572932,-6.8664943054
811152859837048.jpg,33.9818291925,-6.8640668225
747530139272526.jpg,33.981662867665,-6.8640896137725
2711948422429472.jpg,33.983017654297,-6.8637681968655
482940786324355.jpg,33.983256964783,-6.8635391616549
754630131892122.jpg,33.983179308791,-6.863614210989
818634869089276.jpg,33.983423113686,-6.8633790668332
3487252781374458.jpg,33.979017986,-6.8665618636
2817838141814918.jpg,33.9790719654,-6.8665767834
896399100917076.jpg,33.981442447106,-6.8642334600798
318528276463838.jpg,33.982935312097,-6.8638406677419
962878061121295.jpg,33.9819306973,-6.8642560858
928727444360756.jpg,33.9819094073,-6.8641898688
134827981933499.jpg,33.97899711572,-6.866540548073
991036891665766.jpg,33.9817853551,-6.8639672454
3002783279953710.jpg,33.983106649357,-6.8636839672601
477624620169625.jpg,33.979017986,-6.8665618636
498397204645658.jpg,33.9790893998,-6.86658483
179055110664560.jpg,33.9790991228,-6.8664828222
756638941623044.jpg,33.9790991228,-6.8664828222
